[v9n-barres-forensics] GAIA_V7_SKY_HISTORY reject=false GAIA_V9N_HITGATE gate_on=true
[v9n-barres-forensics] loaded "/Users/pascaldisse/projects/magic-crystal-v9body/packages/scrying-glass/data/rdirect-weights-v9n-last.bin" (652632 bytes)
[v9n-barres-forensics] bar-res 640x480 K=3 steps, ref_frames=64, K_DRAWS=8, target n_repeats=32
[v9n-barres-forensics] bar-res sparkle 35.8/Mpx (reference: v9n-last training-time PROBE epoch 124 reported 35.8/Mpx at this same res/pose — this run's own trace RNG differs from training's, small drift expected)
[v9n-barres-forensics] 11 sparkle-flagged texels located
# V9N BAR-RES SPARKLE CLASS FORENSICS — bar-res 640x480, val_cam=orbit_-20, weights="/Users/pascaldisse/projects/magic-crystal-v9body/packages/scrying-glass/data/rdirect-weights-v9n-last.bin", gate_on=true
# domain: dl = demod-log (loss space); lin = linear radiance (undo_log_demod). Luminance = 0.2126R+0.7152G+0.0722B.
# columns: px err_lin(sparkle) hit(depth>0) depth | albedo | evidence_lin(E+D composite, this step) | net_raw_dl net_composed_lin(post-gate/clamp) | teacher_lin | ceiling_dl | target_dl_mean/target_lin_of_dl_mean(n2n-equivalent, n_repeats x K=8 draws) | nbr3x3_hit(row-major, self=X)
px=( 19,257) err_lin=0.4256 hit=true gated=false depth=96.0475 | albedo=(0.0000,0.0000,0.0000) | evidence_lin=(0.0621,0.6852,0.9793) | net_raw_dl=(0.3499,0.5948,0.5530) net_composed_lin=(0.0886,0.8126,0.7385) | teacher_lin=(0.0466,0.2666,0.3762) | ceiling_dl=(0.0849,0.7046,0.9042) | target_dl_mean=(0.0434,0.2317,0.3111) target_lin_of_dl_mean=(0.0444,0.2607,0.3649) target_lin_direct=256draw=(0.0444,0.2704,0.3835) | nbr3x3_hit=[HHH / HXH / HHH] edge_adjacent=false
px=(342,257) err_lin=0.2909 hit=true gated=false depth=79.1516 | albedo=(0.0000,0.0000,0.0000) | evidence_lin=(0.1273,1.6350,1.8802) | net_raw_dl=(0.2272,0.9713,1.1785) net_composed_lin=(0.1173,1.4336,1.6583) | teacher_lin=(0.0853,1.0765,1.2610) | ceiling_dl=(0.1109,0.8894,0.9777) | target_dl_mean=(0.0853,0.7431,0.8261) target_lin_of_dl_mean=(0.0890,1.1025,1.2844) target_lin_direct=256draw=(0.0893,1.1270,1.3141) | nbr3x3_hit=[HHH / HXH / HHH] edge_adjacent=false
px=(332,252) err_lin=0.2884 hit=true gated=false depth=109.0097 | albedo=(0.0000,0.0000,0.0000) | evidence_lin=(0.0381,0.6761,0.9850) | net_raw_dl=(0.3731,0.6717,0.7630) net_composed_lin=(0.0563,0.8328,1.1396) | teacher_lin=(0.0289,0.4808,0.7122) | ceiling_dl=(0.0548,0.6059,0.7606) | target_dl_mean=(0.0258,0.3408,0.4704) target_lin_of_dl_mean=(0.0261,0.4061,0.6007) target_lin_direct=256draw=(0.0262,0.4155,0.6172) | nbr3x3_hit=[HHH / HXH / HHH] edge_adjacent=false
px=( 32,253) err_lin=0.2806 hit=true gated=false depth=122.6564 | albedo=(0.0000,0.0000,0.0000) | evidence_lin=(0.0793,1.5150,2.0351) | net_raw_dl=(0.5264,0.7783,0.8275) net_composed_lin=(0.0949,1.1778,1.2877) | teacher_lin=(0.0472,0.8180,1.1057) | ceiling_dl=(0.0907,1.0115,1.2107) | target_dl_mean=(0.0495,0.6227,0.7701) target_lin_of_dl_mean=(0.0507,0.8639,1.1599) target_lin_direct=256draw=(0.0508,0.8978,1.2122) | nbr3x3_hit=[HHH / HXH / HHH] edge_adjacent=false
px=(321,249) err_lin=0.2643 hit=true gated=false depth=143.3426 | albedo=(0.0000,0.0000,0.0000) | evidence_lin=(0.0578,1.0503,1.4154) | net_raw_dl=(0.4056,0.7980,0.7830) net_composed_lin=(0.0546,0.8785,1.1879) | teacher_lin=(0.0341,0.5574,0.7678) | ceiling_dl=(0.0531,0.6305,0.7856) | target_dl_mean=(0.0388,0.5008,0.6340) target_lin_of_dl_mean=(0.0396,0.6501,0.8852) target_lin_direct=256draw=(0.0397,0.6735,0.9212) | nbr3x3_hit=[HHH / HXH / HHH] edge_adjacent=false
px=(334,252) err_lin=0.2591 hit=true gated=false depth=109.0267 | albedo=(0.0000,0.0000,0.0000) | evidence_lin=(0.0352,0.5771,0.8072) | net_raw_dl=(0.2998,0.6034,0.6063) net_composed_lin=(0.0715,0.8283,0.8337) | teacher_lin=(0.0297,0.4898,0.7204) | ceiling_dl=(0.0690,0.8176,1.0014) | target_dl_mean=(0.0262,0.3463,0.4763) target_lin_of_dl_mean=(0.0265,0.4138,0.6101) target_lin_direct=256draw=(0.0266,0.4295,0.6382) | nbr3x3_hit=[HHH / HXH / HHH] edge_adjacent=false
px=(277,262) err_lin=0.2534 hit=true gated=false depth=61.8395 | albedo=(0.0000,0.0000,0.0000) | evidence_lin=(0.1274,1.6350,1.8805) | net_raw_dl=(0.2816,0.8548,1.0885) net_composed_lin=(0.1763,1.3510,1.9698) | teacher_lin=(0.0872,1.0932,1.2761) | ceiling_dl=(0.1623,1.1783,1.2776) | target_dl_mean=(0.0856,0.7405,0.8254) target_lin_of_dl_mean=(0.0894,1.0970,1.2827) target_lin_direct=256draw=(0.0898,1.1359,1.3280) | nbr3x3_hit=[HHH / HXH / HHH] edge_adjacent=false
px=(338,252) err_lin=0.1940 hit=true gated=false depth=109.0682 | albedo=(0.0000,0.0000,0.0000) | evidence_lin=(0.0192,0.2286,0.3429) | net_raw_dl=(0.3105,0.5154,0.6884) net_composed_lin=(0.0489,0.6743,0.9904) | teacher_lin=(0.0275,0.4433,0.6555) | ceiling_dl=(0.0478,0.5980,0.7664) | target_dl_mean=(0.0279,0.3776,0.5167) target_lin_of_dl_mean=(0.0283,0.4587,0.6765) target_lin_direct=256draw=(0.0283,0.4715,0.6991) | nbr3x3_hit=[HHH / HXH / HHH] edge_adjacent=false
px=(337,260) err_lin=0.1842 hit=true gated=false depth=66.5488 | albedo=(0.0000,0.0000,0.0000) | evidence_lin=(0.0324,0.4171,0.5414) | net_raw_dl=(0.4130,0.8546,1.0550) net_composed_lin=(0.1018,1.2308,1.4360) | teacher_lin=(0.0819,1.0067,1.1637) | ceiling_dl=(0.0970,0.8024,0.8904) | target_dl_mean=(0.0862,0.7342,0.8104) target_lin_of_dl_mean=(0.0901,1.0838,1.2489) target_lin_direct=256draw=(0.0905,1.1256,1.2993) | nbr3x3_hit=[HHH / HXH / HHH] edge_adjacent=false
px=( 17,257) err_lin=0.1601 hit=true gated=false depth=96.2672 | albedo=(0.0000,0.0000,0.0000) | evidence_lin=(0.0330,0.2338,0.3397) | net_raw_dl=(0.2481,0.5122,0.6123) net_composed_lin=(0.0870,0.6689,0.8447) | teacher_lin=(0.0393,0.4750,0.6897) | ceiling_dl=(0.0835,0.7046,0.9042) | target_dl_mean=(0.0417,0.4222,0.5622) target_lin_of_dl_mean=(0.0426,0.5254,0.7545) target_lin_direct=256draw=(0.0426,0.5403,0.7823) | nbr3x3_hit=[HHH / HXH / HHH] edge_adjacent=false
